company_id,name
ff25d76a-ea22-40b9-b964-aeb3914ef616,"Motorola, Inc."
f77f5297-06be-4d3b-ae57-53fc28ee208a,BlackBerry Limited
47207a0d-8b8a-4b48-9b5d-c5557f0e5fca,ELECTRONICS AND TELECOMMUNICATIONS RESEARCH INSTITUTE
e2199ed7-edca-4773-82ae-06c5c9677797,"DP Technologies, Inc."
ca10e655-1f12-4bcc-91f3-225bb1bed89a,Francotyp-Postalia GmbH
d1398977-3b9b-44cb-a47f-a2ec3830b95e,"Littelfuse, Inc."
9971439c-aa8f-4cf2-b787-3b80dc992cfa,NEC CORPORATION
cbc31957-5625-4c60-be87-a8918629bba8,Texas Instruments Incorporated
74c11be2-20ec-49fe-ac26-d839d375bd32,MITSUBISHI ELECTRIC CORPORATION
c434bed5-da6d-4835-b467-6deb8fb2c1db,"Shelby Enterprises, Inc."
f7543b0c-ac6f-435b-9d59-63474defdf55,CORNELL UNIVERSITY
113d63e1-1536-4659-b4cf-bdb346ab0cdb,Sony Interactive Entertainment America LLC
920ab1d2-6ed6-402d-907d-314f1c0bd628,WEST CORPORATION
5d139463-6eec-413f-b2be-5a101af8f471,"RESVENT MEDICAL TECHNOLOGY CO., LTD"
b7980626-b6f2-41c6-ba2e-ea4d6f0f6974,GM Global Technologies Operations LLC
4941a1e4-b38e-4fb8-9da4-e608defd32a8,KEYENCE CORPORATION
328434ce-a701-4c29-8aef-e9a7d3722319,"MURATA MANUFACTURING CO., LTD."
0302be0f-0e1a-498e-96d1-d06f07d10af1,EGALAX_EMPIA TECHNOLOGY INC.
533e0469-baac-46b7-9576-669db08092eb,"SAMSUNG DISPLAY CO., LTD."
b1305fbb-d662-44a1-9749-7a036ccaad90,Asahi Kogaku Kogyo Kabushiki Kaisha
5b0b2179-927c-48dd-a8ee-211adb1d7e7a,"RICOH COMPANY, LTD."
e2d789aa-a918-4802-9716-61a81e92d4c7,"ICHIKAWA CO., LTD."
6ede9731-a465-43ad-b94d-711f89f7540d,DCNS
1d443c32-beaa-448d-b67c-2e60c804fd0a,DENSO CORPORATION
e28ff6ca-481c-4c84-983b-e86dba390ef4,NAN YA PLASTICS CORPORATION
bcf802d8-53dd-4e7e-bf4d-3b63625bdd3c,EASTMAN KODAK COMPANY
4f451e64-7f79-4be1-86f1-589fc37f0d87,Metal Industries Research & Development Centre
4d02b7ca-575f-4cad-8529-aa098a0d76aa,"SANYO ELECTRIC CO., LTD."
1b7df2b5-6ba8-45e7-978f-a91d69bf49be,HONEYWELL INTERNATIONAL INC.
1b07134c-9d99-4340-92f5-eb3884a8e444,THE DOW CHEMICAL COMPANY
f7e4385e-691b-415a-923a-3ed45edf6dc5,Ricoh Production Print Solutions LLC
7c274ded-9ea3-4bc6-a0c4-8de09e1650e6,UOP LLC
10c95b09-35be-402d-a462-cecf3b8e3247,Sperry Corp.
681bb272-dacd-4789-b8d1-1c43e9ed8fbf,3M INNOVATIVE PROPERTIES COMPANY
77b0e539-7552-487c-8171-df9127f7fa66,"SUMITOMO ELECTRIC INDUSTRIES, LTD."
7b086171-cf82-493e-acdb-b3de2fd5f078,Symantec Operating Corporation
55bc7465-2823-418d-9835-41d555c610a6,SONY GROUP CORPORATION
1df63415-5e7c-4f6d-901e-1c1543d7dbb9,ERICO International Corporation
38cff6e0-fc52-4faf-9fa9-b72912600dee,Apple Inc.
066e4bbd-6ead-4292-99cb-0f1414645ca7,Intellectual Exchange PTY Ltd.
461735da-1e01-4148-8ee3-7e610c5dca9b,Hoechst GmbH
2f99f1e8-6c16-41b0-9611-907ab4383a9d,Bayerische Motoren Werke Aktiengesellschaft
3657e636-2dfe-46ee-9191-9895bf8337c2,Thuringishces Institut fur Textil und Kunststoff-Forschung E.V.
f058e5ad-3f69-4635-9814-da4623cedec0,"LANDIS+GYR INNOVATIONS, INC."
5952964e-63c6-4284-9012-0fdd0643f715,Fujitsu Limited
8dbb231d-a915-481f-83e0-40cfbbed8f8f,THE TEXAS A&M UNIVERSITY SYSTEM
758dba44-8633-4c28-888d-82a2d5b7f91b,Backer EHP Inc.
b76c7145-9d46-40e6-a3e9-eff1bc275731,"Beijing BOE Optoelectronics Technology Co., Ltd."
87bbd77e-54e0-4d95-9c1b-7843963c09eb,TOYOTA JIDOSHA KABUSHIKI KAISHA
234ae14f-a3b6-4a33-b11a-5915a4125dbe,"Ryobi North America, Inc."
0ed3b5da-e166-4ce8-bb57-768914cc7e2e,"Halliburton Energy Services, Inc."
8a2281b5-f37b-4e26-8fa4-2dd2132c93f7,"Piper Industries, Inc."
49fa053c-79b9-499c-8535-72f1fb623478,JEOL Ltd.
a0c19632-dfeb-4fcc-b84e-fb753d31c71e,"Freeescale Semiconductor, Inc."
3a2229ae-4b9d-4dda-b023-8dda6d0a5bb7,"LOS ALAMOS NATIONAL SECURITY, LLC"
2d83271d-3924-4f46-9d40-274d16957ac7,Metal Box Public Limited Company
fdf798cb-8fb8-419f-b141-e7fde1150ac1,"SUMITOMO WIRING SYSTEMS, LTD."
a7b79334-35a4-48e8-8143-47f2bfd65432,TELEFONAKTIEBOLAGET LM ERICSSON (PUBL)
29b8f534-149e-443c-b76b-3c4a222da89c,International Business Machines Corporation
db289090-a02c-41dd-8bf6-713de4d8053e,"University of Florida Research Foundation, Inc."
20562d13-a63e-4da5-9e62-7d8d22eac830,Baker Hughes Holdings LLC
2f739416-bf7c-493c-a71d-a38af561ab25,"Fonality, Inc."
12e78a19-e5d2-4772-bc75-4124da840e88,"Parago, Inc."
064a7571-b0d6-49d0-9595-ac4f1350a944,"Retractable Technologies, Inc."
fbe6917a-014d-4a0b-9056-18cc62da6174,AICHI STEEL CORPORATION
1f8bb203-47f2-4139-a868-493b21064238,"MITSUMI ELECTRIC CO., LTD."
dfdf1f1a-8f22-41dc-a7f0-855bde20ca67,CANON KABUSHIKI KAISHA
8c3c488c-e5ca-440a-bdd2-31697d75df48,"NGK SPARK PLUG CO., LTD."
